player_id,person_id,name,team,team name,division,year,age,class,w,l,g,gs,cg,sho,sv,ip,tbf,h,r,er,hr,bb,hbp,wp,bk,so,qualified
n_q007837,q007837,Brendon Lopez,AAMU,Alabama A&M,1,2021,,Fr,0,0,2,0,0,0,0,2.0,14,4,6,6,1,3,1,1,0,1,False
n_q007833,q007833,Cole Stewart,AAMU,Alabama A&M,1,2021,,Fr,0,0,6,0,0,0,0,10.0,60,16,19,14,0,13,1,2,0,6,False
n_q001367,q001367,Jason Garcia,AAMU,Alabama A&M,1,2021,,Fr,0,0,8,3,0,0,0,17.2,103,26,24,16,1,20,3,4,0,14,False
n_q001368,q001368,Jason Marono,AAMU,Alabama A&M,1,2021,,Fr,0,2,5,1,0,0,0,12.2,63,15,18,15,1,9,3,0,0,5,False
n_q001381,q001381,Jose Figueroa,AAMU,Alabama A&M,1,2021,,Jr,4,4,10,8,1,0,0,42.2,219,61,45,34,4,26,3,10,0,56,True
n_q001371,q001371,Josue Espaillat-Garcia,AAMU,Alabama A&M,1,2021,,Fr,0,0,4,0,0,0,0,4.2,28,6,10,10,0,7,1,3,0,6,False
n_q001366,q001366,Josue Torres-Santos,AAMU,Alabama A&M,1,2021,,Jr,1,1,10,2,1,0,1,34.1,183,59,44,34,8,13,2,2,0,26,True
n_q001374,q001374,Khari Caver,AAMU,Alabama A&M,1,2021,,So,0,0,4,0,0,0,0,5.2,40,12,10,9,0,9,1,1,0,4,False
n_q001382,q001382,Logan Smith,AAMU,Alabama A&M,1,2021,,So,0,2,10,2,0,0,0,20.0,107,33,31,30,2,11,3,5,0,11,False
n_q007840,q007840,Michael Hovermill,AAMU,Alabama A&M,1,2021,,Sr,2,4,13,4,0,0,1,29.0,172,56,58,52,3,19,5,6,1,27,True
n_q001377,q001377,Peyton Baker,AAMU,Alabama A&M,1,2021,,Jr,2,5,10,8,1,0,0,45.1,235,70,49,42,5,20,9,5,0,30,True
n_q001380,q001380,Yavier Febus,AAMU,Alabama A&M,1,2021,,Fr,0,1,5,1,0,0,0,2.0,31,12,21,14,4,9,2,15,0,3,False
n_q010722,q010722,Adam Stephenson,ACU,Abilene Christian,1,2021,,So,1,4,15,13,0,0,0,72.2,330,67,38,30,2,50,2,8,0,68,True
n_q001359,q001359,Austin Glaze,ACU,Abilene Christian,1,2021,,So,4,1,14,1,0,0,0,29.0,129,23,19,15,3,17,3,3,0,33,False
n_q001365,q001365,Austin Ruesch,ACU,Abilene Christian,1,2021,,Sr,0,0,3,0,0,0,0,3.2,21,5,6,6,3,5,0,2,0,4,False
n_q010721,q010721,Carter Sells,ACU,Abilene Christian,1,2021,,So,0,1,14,0,0,0,0,16.0,79,14,10,9,1,15,4,2,0,18,False
n_q010796,q010796,Connor Carlton,ACU,Abilene Christian,1,2021,,So,1,1,18,0,0,0,2,20.2,100,23,21,19,2,16,0,10,0,27,False
n_q010699,q010699,Eric Wimpee,ACU,Abilene Christian,1,2021,,Sr,0,0,3,0,0,0,0,6.0,24,2,1,1,0,2,2,0,1,6,False
n_q001362,q001362,Genner Cervantes,ACU,Abilene Christian,1,2021,,Sr,7,2,15,15,2,1,0,69.1,330,83,64,54,9,37,6,12,1,47,True
n_q011558,q011558,Jack Junker,ACU,Abilene Christian,1,2021,,So,0,0,1,0,0,0,0,1.0,5,1,1,1,0,0,1,0,0,0,False
n_q010727,q010727,Max Huffing,ACU,Abilene Christian,1,2021,,Fr,7,1,22,3,0,0,1,51.1,235,39,29,23,3,40,8,7,0,56,True
n_q011050,q011050,Nick Norton,ACU,Abilene Christian,1,2021,,So,0,0,10,0,0,0,0,5.2,33,5,5,4,1,10,2,4,0,6,False
n_q001358,q001358,Owen Cuffe,ACU,Abilene Christian,1,2021,,So,0,0,4,0,0,0,0,6.1,38,12,12,12,2,8,0,6,0,11,False
n_q010698,q010698,Spencer Chirpich,ACU,Abilene Christian,1,2021,,Sr,6,5,15,14,1,0,0,71.0,335,98,58,44,2,17,6,5,0,57,True
n_q001364,q001364,Tanner Riley,ACU,Abilene Christian,1,2021,,Sr,6,2,22,0,0,0,9,39.2,186,35,21,19,3,28,4,7,0,53,False
n_q001360,q001360,Trevor Jackson,ACU,Abilene Christian,1,2021,,Sr,1,1,11,0,0,0,0,16.2,96,22,14,14,1,19,6,6,0,17,False
n_q001350,q001350,Tyler Morgan,ACU,Abilene Christian,1,2021,,So,3,3,17,11,0,0,0,71.0,324,68,52,46,7,40,8,11,0,69,True
n_q001346,q001346,Zach Smith,ACU,Abilene Christian,1,2021,,Sr,0,0,2,0,0,0,0,2.1,10,3,1,1,0,0,0,0,0,1,False
n_q000261,q000261,Ben Hauser,AFA,Air Force,1,2021,,Sr,1,0,14,0,0,0,1,17.1,83,24,11,11,1,8,0,2,1,17,False
n_q000269,q000269,CJ Dornak,AFA,Air Force,1,2021,,Jr,4,1,15,1,0,0,0,26.2,141,45,38,31,6,11,3,0,0,19,False
n_q000248,q000248,Connor Bright,AFA,Air Force,1,2021,,Jr,0,0,7,0,0,0,0,12.0,62,15,12,10,2,12,3,1,0,7,False
n_q008682,q008682,Doyle Gehring,AFA,Air Force,1,2021,,Fr,0,2,16,3,0,0,1,31.0,155,41,29,28,7,19,3,0,0,21,False
n_q008675,q008675,Duke Benge,AFA,Air Force,1,2021,,So,0,0,5,0,0,0,0,8.0,36,12,7,7,2,1,1,1,0,6,False
n_q008692,q008692,Jake Sansing,AFA,Air Force,1,2021,,So,0,1,5,1,0,0,0,9.2,50,21,13,12,2,3,0,2,0,4,False
