name,team,team name,division,year,qualified
Brendon Lopez,AAMU,Alabama A&M University,1,2021,False
Cole Stewart,AAMU,Alabama A&M University,1,2021,False
Jason Garcia,AAMU,Alabama A&M University,1,2021,False
Jason Marono,AAMU,Alabama A&M University,1,2021,False
Jose Figueroa,AAMU,Alabama A&M University,1,2021,True
Josue Espaillat,AAMU,Alabama A&M University,1,2021,False
Josue Torres,AAMU,Alabama A&M University,1,2021,True
Khari Caver,AAMU,Alabama A&M University,1,2021,False
Michael Hovermill,AAMU,Alabama A&M University,1,2021,True
Peyton Baker,AAMU,Alabama A&M University,1,2021,True
Yavier Febus,AAMU,Alabama A&M University,1,2021,False
Adam Stephenson,ACU,Abilene Christian University,1,2021,True
Austin Glaze,ACU,Abilene Christian University,1,2021,False
Austin Ruesch,ACU,Abilene Christian University,1,2021,False
Carter Sells,ACU,Abilene Christian University,1,2021,False
Connor Carlton,ACU,Abilene Christian University,1,2021,False
Eric Wimpee,ACU,Abilene Christian University,1,2021,False
Genner Cervantes,ACU,Abilene Christian University,1,2021,True
Jack Junker,ACU,Abilene Christian University,1,2021,False
Max Huffling,ACU,Abilene Christian University,1,2021,True
Nick Norton,ACU,Abilene Christian University,1,2021,False
Owen Cuffe,ACU,Abilene Christian University,1,2021,False
Spencer Chirpich,ACU,Abilene Christian University,1,2021,True
Tanner Riley,ACU,Abilene Christian University,1,2021,False
Trevor Jackson,ACU,Abilene Christian University,1,2021,False
Tyler Morgan,ACU,Abilene Christian University,1,2021,True
Zach Smith,ACU,Abilene Christian University,1,2021,False
Ben Hauser,AFA,United States Air Force Academy,1,2021,False
CJ Dornak,AFA,United States Air Force Academy,1,2021,False
Connor Bright,AFA,United States Air Force Academy,1,2021,False
Doyle Gehring,AFA,United States Air Force Academy,1,2021,False
Duke Benge,AFA,United States Air Force Academy,1,2021,False
Jake Sansing,AFA,United States Air Force Academy,1,2021,False
Jason Shuger,AFA,United States Air Force Academy,1,2021,True
Joe Martinez III,AFA,United States Air Force Academy,1,2021,False
John Byrnes,AFA,United States Air Force Academy,1,2021,True
Kyle Moats,AFA,United States Air Force Academy,1,2021,False
Luke Chilcutt,AFA,United States Air Force Academy,1,2021,False
Mitchell Woelfle,AFA,United States Air Force Academy,1,2021,False
Nathan Price,AFA,United States Air Force Academy,1,2021,False
Paul Skenes,AFA,United States Air Force Academy,1,2021,False
Rob Martin,AFA,United States Air Force Academy,1,2021,False
Ryan Stohr,AFA,United States Air Force Academy,1,2021,False
Stevan Fairburn Jr.,AFA,United States Air Force Academy,1,2021,True
Zach Argo,AFA,United States Air Force Academy,1,2021,False
Anthony Fett,AKR,University of Akron,1,2021,True
Brady Mehl,AKR,University of Akron,1,2021,False
Conor Steinbaugh,AKR,University of Akron,1,2021,False
Dylan James,AKR,University of Akron,1,2021,False
Grayson Phillips,AKR,University of Akron,1,2021,False
Jackson Hickert,AKR,University of Akron,1,2021,False
Jackson Miller,AKR,University of Akron,1,2021,False
Jacob Clark,AKR,University of Akron,1,2021,False
John Creel,AKR,University of Akron,1,2021,False
Mark Meyer,AKR,University of Akron,1,2021,False
Matthew Radtka,AKR,University of Akron,1,2021,False
Sammy Tortorella,AKR,University of Akron,1,2021,False
Spencer Atkins,AKR,University of Akron,1,2021,False
Taed Heydinger,AKR,University of Akron,1,2021,True
Tyler Gault,AKR,University of Akron,1,2021,False
Yassir Kahook,AKR,University of Akron,1,2021,False
Antoine Jean,ALA,University of Alabama,1,2021,False
Brayden Rowe,ALA,University of Alabama,1,2021,False
Brock Guffey,ALA,University of Alabama,1,2021,False
Bryce Eblin,ALA,University of Alabama,1,2021,False
Chase Lee,ALA,University of Alabama,1,2021,False
Connor Prielipp,ALA,University of Alabama,1,2021,False
Connor Shamblin,ALA,University of Alabama,1,2021,False
Dylan Smith,ALA,University of Alabama,1,2021,True
Eli Giles,ALA,University of Alabama,1,2021,False
Grayson Hitt,ALA,University of Alabama,1,2021,False
